channel_elevation,channel_slope_r,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope_r,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope_r,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope_r,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope_r,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id,slope
52.5,0.0,0.0,7439.999999999852,3.397161290437907,52.5,0.0,-0.005633333333377396,7289.999999999994,153.39716129029603,53.44,0.11833333333204199,0.0039444444443583505,5850.000000000098,1593.3971612901914,55.76,0.003999999999982816,9.999999999914197e-05,7950.000000000175,506.60283870988496,55.19,0.0,-8.888888888812957e-05,8490.000000000136,1046.6028387098468,252.0,43.9183673469388,1.69565984646813,252.0,159185,1,1,6493.96530633224,6748.92856917633,1,18192000141,18192000140581,1.2220295293644
52.5,0.0,0.0,8129.999999999982,7.245161290290525,55.86,0.0016666666666804164,5.555555555647536e-05,8669.999999999834,547.2451612901432,55.02,0.005666666666611749,3.3333333329896014e-05,9210.000000000227,1087.245161290536,52.5,0.13466666666534796,0.004488888888800975,7920.000000000097,202.75483870959397,55.66,0.0033333333333610696,5.555555555748875e-05,7409.99999999999,712.7548387097013,275.0,283.84,1.69565984646813,275.0,158962,1,1,6494.16440943668,6748.92856917633,1,18192000141,18192000140571,1.2220295293644
52.0,0.0,0.0,8790.000000000147,12.087096774199381,56.15,0.00033333333333991644,-2.2222222222303847e-05,9419.999999999658,617.9129032253113,51.36,0.0006666666666798329,-0.00012222222222289393,11909.999999999754,3107.9129032254077,56.74,0.03999999999982766,0.0004111111111075686,8520.000000000295,282.08709677405204,55.71,0.0,-3.333333333385604e-05,8129.99999999978,672.0870967745668,296.0,50.24,1.69565984646813,296.0,158773,1,2,6494.36351254112,6748.92856917633,1,18192000141,18192000140561,1.2220295293644
52.0,0.0,0.0,8070.000000000319,6.239999999919746,55.72,0.002000000000015234,-0.00011111111111218541,8519.9999999997,443.7599999994609,48.08,0.001333333333338964,1.1111111111092058e-05,12149.999999999864,4073.7599999996246,52.0,0.16066666666734372,0.005000000000040944,7829.999999999855,246.2400000003836,56.0,0.012000000000090931,0.00013333333333624087,7199.999999999662,876.2400000005773,270.5,409.138888888889,1.69565984646813,324.0,158592,2,2,6494.60243626645,6748.92856917633,1,18192000141,18192000140551,1.2220295293644
52.0,0.0,0.0,11129.99999999989,14.787483871257791,55.43,0.001999999999990253,1.111111111100986e-05,11640.000000000364,495.21251612921515,48.68,0.001999999999990253,2.2222222222015493e-05,15060.000000000244,3915.212516129095,51.5,0.0,0.0,10919.999999999878,224.78748387127052,55.47,0.04366666666664821,0.0004666666666707694,10319.999999999853,824.787483871296,369.5,2448.25,1.46412573250294,369.5,158395,1,1,6511.69060633532,4824.86294042598,1,18192000141,18192000140541,1.2220295293644
50.5,0.0,0.0,12930.000000000182,2.4000000002706656,55.29,0.0006666666666697678,2.2222222222433385e-05,13679.999999999636,752.399999999725,51.31,0.006666666666699099,0.00017777777777976255,16289.999999999733,3362.3999999998214,54.45,0.00133333333333241,6.869866365586486e-16,12600.000000000182,327.59999999972933,51.68,0.0013333333333398532,2.2222222222437424e-05,10979.999999999804,1947.6000000001077,434.5,303.1875,1.00105750457257,324.0,158171,2,2,6511.80850042662,976.731682925281,1,18192000141,18192000140531,1.2220295293644
49.0,0.0,-0.0005555555555564651,11490.000000000087,1.6482580644969858,54.96,0.0023333333333187705,7.777777777680661e-05,11820.000000000204,328.35174193561943,50.87,0.004333333333367864,0.00012222222222448812,14669.999999999816,3178.351741935232,49.0,0.0,-0.006333333333343321,11159.999999999796,331.648258064788,51.6,0.003333333333359655,0.00011111111111286431,9359.999999999807,2131.648258064777,381.0,1184.56,1.00105750457257,381.0,158001,1,1,6511.95586804074,976.731682925281,1,18192000141,18192000140521,1.2220295293644
48.0,0.0,0.0,6900.000000000084,3.0427096775965765,54.97,0.0019999999999885556,1.1111111109599813e-05,7319.999999999904,423.0427096774165,50.67,0.0006666666666795038,-2.22222222219591e-05,10169.99999999967,3273.0427096771837,54.08,0.002333333333377908,7.77777777807491e-05,6509.99999999969,386.95729032279723,51.86,0.0,-2.2222222222105777e-05,5189.99999999988,1706.9572903226072,234.0,2957.13888888889,1.00334339863263,234.0,157801,1,1,6512.13270917769,1101.57919536434,1,18192000141,18192000140511,1.2220295293644
47.5,0.0,0.0,6210.000000000178,1.0534193549447082,54.05,0.002333333333296488,1.1111111109039969e-05,6480.000000000218,271.0534193549847,49.06,0.0023333333333429634,7.777777777841947e-05,10020.000000000084,3811.05341935485,54.13,0.0016666666666503873,5.555555555446553e-05,5670.0000000001,538.9465806451335,52.08,0.0026666666666932885,-4.444444444190077e-05,4409.999999999958,1798.9465806452754,212.0,256.64,1.00448634566266,212.0,157574,1,1,6512.28007679181,1164.00295158386,1,18192000141,18192000140501,1.2220295293644
47.5,0.0,0.0,10050.000000000153,9.34748387111722,53.81,0.0,-4.444444444470489e-05,10560.000000000033,519.3474838709972,48.16,0.002333333333333813,2.2222222221930315e-05,14009.999999999707,3969.3474838706716,53.28,0.011333333333336646,0.00014444444444452697,9630.000000000084,410.6525161289519,52.0,0.007333333333335519,0.00018888888888899744,8429.999999999864,1610.652516129172,339.0,1445.04,1.00448634566266,324.0,157381,2,2,6512.42744440593,1164.00295158386,1,18192000141,18192000140491,1.2220295293644
